user_id,user_journey,subscription_type
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
1516,Homepage-Other-Sign up-Homepage-Checkout-Coupon-Checkout,Annual
3395,Other-Pricing-Sign up-Homepage-Pricing-Checkout,Annual
3395,Other-Pricing-Sign up-Homepage-Pricing-Checkout,Annual
3395,Other-Pricing-Sign up-Homepage-Pricing-Checkout,Annual
3395,Other-Pricing-Sign up-Homepage-Pricing-Checkout,Annual
3395,Other-Pricing-Sign up-Homepage-Pricing-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
10107,Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Checkout,Annual
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
11145,Homepage-Checkout,Monthly
12400,Homepage-Career tracks-Sign up-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Checkout,Monthly
12400,Homepage-Career tracks-Sign up-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Checkout,Monthly
12400,Homepage-Career tracks-Sign up-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Checkout,Monthly
12400,Homepage-Career tracks-Sign up-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Checkout,Monthly
13082,Checkout-Homepage-Sign up-Checkout,Monthly
13082,Checkout-Homepage-Sign up-Checkout,Monthly
13082,Checkout-Homepage-Sign up-Checkout,Monthly
13082,Checkout-Homepage-Sign up-Checkout,Monthly
13082,Checkout-Homepage-Sign up-Checkout,Monthly
14415,Pricing-Sign up-Pricing-Sign up-Homepage-Checkout,Monthly
14415,Pricing-Sign up-Pricing-Sign up-Homepage-Checkout,Monthly
14415,Pricing-Sign up-Pricing-Sign up-Homepage-Checkout,Monthly
14415,Pricing-Sign up-Pricing-Sign up-Homepage-Checkout,Monthly
14415,Pricing-Sign up-Pricing-Sign up-Homepage-Checkout,Monthly
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
15630,Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout,Annual
16589,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout,Quarterly
16589,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout,Quarterly
16589,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout,Quarterly
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout,Monthly
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout,Monthly
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout,Monthly
22679,Coupon,Annual
22679,Coupon,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
24414,Coupon,Annual
24414,Coupon,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
